"Day","Year A","Year B","Year C"
"Proper 18","Ezek 33:1-11|Ps 119:33-48|Rom 12:9-21|Matt 18:15-20","Isa 35:4-7a|Ps 146|James 1:17-27|Mark 7:31-37","Deut 30:15-20|Ps 1|Philemon(1-3)4-21(22-25)|Luke 14:25-33"
"Proper 19","Ecclesiasticus 27:30-28:7|Ps 103 or 103:1-14|Rom 14:5-12|Matt 18:21-35","Isa 50:4-9|Ps 116:1-9(10-16)v|James 2:1-18|Mark 9:14-29","Ex 32:1,7-14|Ps 51:1-17v|1 Tim 1:12-17|Luke 15:1-10"
"Proper 20","Jonah 3:10-4:11|Ps 145:(1-13)14-21v|Phil 1:21-27|Matt 20:1-16","Wisdom 1:16-2:1,12-22|Ps 54|James 3:16-4:6|Mark 9:30-37","Amos 8:4-12|Ps 138|1 Tim 2:1-7(8-15)|Luke 16:1-13"
"Proper 21","Ezek 18:1-4,25-32|Ps 25:1-14(15-21)|Phil 2:1-13|Matt 21:28-32","Num 11:4-6,10-17,24-29|Ps 19:(1-6)7-14|James 4:7-12(13-5:6)|Mark 9:38-48","Amos 6:1-7|Ps 146|1 Tim 6:11-19|Luke 16:19-31"
"Proper 22","Isa 5:1-7|Ps 80:(1-6)7-19v|Phil 3:14-21|Matt 21:33-44","Gen 2:18-24|Ps 8|Heb 2:(1-8)9-18|Mark 10:2-16","Hab 1:1-13,2:1-4|Ps 37:1-17v|2 Tim 1:1-14|Luke 17:5-10"
"Proper 23","Isa 25:1-9|Ps 23|Phil 4:4-13|Matt 22:1-14","Amos 5:6-15|Ps 90:1-12(13-17)|Heb 3:1-6|Mark 10:17-31","Ruth 1:1-19a|Ps 113|2 Tim 2:1-15|Luke 17:11-19"
"Proper 24","Mal 3:6-12|Ps 96|1 Thess 1:1-10|Matt 22:15-22","Isa 53:4-12|Ps 91|Heb 4:12-16|Mark 10:35-45","Gen 32:3-8,22-30|Ps 121|2 Tim 3:14-4:5|Luke 18:1-8"
"Proper 25","Ex 22:21-27|Ps 1|1 Thess 2:1-8|Matt 22:34-46","Isa 59:9-20|Ps 13|Heb 5:11-6:12|Mark 10:46-52","Jer 14:(1-6)7-10,19-22|Ps 84|2 Tim 4:6-18|Luke 18:9-14"
"Proper 26","Mic 3:5-12|Ps 43|1 Thess 2:9-20|Matt 23:1-12","Deut 6:1-9|Ps 119:1-16|Heb 7:23-28|Mark 12:28-34","Isa 1:10-20|Ps 32|2 Thess 1:1-12|Luke 19:1-10"
"Proper 27","Amos 5:18-24|Ps 70|1 Thess 4:13-18|Matt 25:1-13","1 Kings 17:8-16|Ps 146|Heb 9:24-28|Mark 12:38-44","Job 19:23-27a|Ps 17|2 Thess 2:13-3:5|Luke 20:27-38"
